128465;819;COMMUNE DE BEAUMONT
129531;810;COMMUNE DE ST-LAURENT-DE-LA-SALANQUE
114962;564;COMMUNE DE RAMONVILLE SAINT AGNE
138903;488;COMMUNE DE ROSNY-SOUS-BOIS
134073;488;COMMUNE COMBS LA VILLE
101361;484;CA DE NEVERS
138958;480;COMMUNE DE CACHAN
139121;477;COMMUNE DE GARGES LES GONESSE
117433;477;COMMUNE DE LA RICHE
139114;476;COMMUNE DE REMIRE-MONTJOLY
138895;476;COMMUNE DE LIVRY GARGAN
134781;476;COMMUNE DE VELIZY-VILLACOUBLAY
130919;476;COMMUNE DE BISCHHEIM
138967;474;COMMUNE DE BRY SUR MARNE
136622;474;COMMUNE DE ROQUEBRUNE SUR ARGENS
134836;474;COMMUNE DE MAUREPAS
117589;474;COMMUNE DE SAINT MARTIN D HERES
138883;473;COMMUNE DE ENGHIEN LES BAINS
119751;473;COMMUNE DE RIVE DE GIER
117145;473;COMMUNE DE SAINT AVERTIN
139068;470;COMMUNE DU LAMENTIN
138948;470;COMMUNE LE PERREUX SUR MARNE
138921;470;COMMUNE DE NEUILLY-SUR-MARNE
129840;470;COMMUNE D ANGLET
106029;470;COMMUNE DE TROYES
138451;469;COMMUNE DE MASSY
123465;469;COMMUNE DE VANDOEUVRE LES NANCY
137541;468;COMMUNE DE SAINT DIE DES VOSGES
122386;468;COMMUNE DE CHAUMONT
112029;468;COMMUNE DE MONTBELIARD
139046;467;COMMUNE DE POINTE A PITRE
138978;467;COMMUNE DU PLESSIS-TREVISE
131086;467;COMMUNE D ECULLY
130534;467;COMMUNE DE LINGOLSHEIM
125867;467;COMMUNE DE DENAIN
125509;467;COMMUNE DE FACHES THUMESNIL
114288;467;VILLE DE MORLAIX
110702;467;VILLE DE LANNION
132322;466;COMMUNE DE LA FLECHE
116434;466;COMMUNE DE CASTELNAU-LE-LEZ
121160;463;COMMUNE DE SEGRE EN ANJOU BLEU
120839;463;COMMUNE DE BRISSAC LOIRE AUBANCE
136988;462;COMMUNE DES HERBIERS
126170;462;COMMUNE D HAUBOURDIN
119708;462;COMMUNE DE PORNIC
107203;462;COMMUNE DE CHATEAURENARD
124645;461;VILLE DE HENNEBONT
114309;461;VILLE DE PLOUGASTEL DAOULAS
106207;460;COMMUNE DE LA CHAPELLE-SAINT-LUC
134849;459;COMMUNE DE CARRIERES-SUR-SEINE
126353;459;COMMUNE DE MONTATAIRE
125003;459;COMMUNE DE FAMECK
124395;459;VILLE D AURAY
133738;456;COMMUNE DE BARENTIN
130910;456;COMMUNE DE SAVERNE
130769;456;COMMUNE DE RIEDISHEIM
127049;456;COMMUNE DE NOYON
125793;456;COMMUNE DE SECLIN
114367;456;COMMUNE D ALES
138745;455;COMMUNE DE VANVES
134164;455;COMMUNE DE SAINT ETIENNE DU ROUVRAY
133457;455;COMMUNE DE MONT SAINT AIGNAN
133316;455;COMMUNE DE SOTTEVILLE LES ROUEN
130924;455;COMMUNE DE HOENHEIM
126366;455;COMMUNE DE NOGENT SUR OISE
124185;455;COMMUNE DE VERDUN
119113;455;COMMUNE DE FIRMINY
114805;455;COMMUNE DE TOURNEFEUILLE
105496;455;COMMUNE DE SEDAN
130795;454;COMMUNE DE GUEBWILLER
121380;454;COMMUNE DE TRELAZE
113714;454;COMMUNE DE NOGENT LE ROTROU
107241;454;COMMUNE D AURIOL
106361;454;COMMUNE DE CASTELNAUDARY
102826;454;COMMUNE DE CAPESTERRE BELLE EAU
121172;453;COMMUNE DE MAUGES-SUR-LOIRE
117184;453;COMMUNE DE MONTLOUIS SUR LOIRE
116454;453;COMMUNE DE MEZE
114924;452;COMMUNE DE CASTANET TOLOSAN
114277;452;VILLE DE LE RELECQ KERHUON
137071;449;COMMUNE DE BUXEROLLES
134894;449;COMMUNE DE LIMAY
134850;449;COMMUNE DE CHATOU
126241;449;COMMUNE DE NEUVILLE EN FERRAIN
109193;449;COMMUNE DE SAINT AMAND MONTROND
106127;449;COMMUNE DE SAINTE-SAVINE
139168;448;COMMUNE DE FOSSES
117099;448;COMMUNE DE CHAMBRAY LES TOURS
116486;448;VILLE DE REDON
111500;448;COMMUNE DE SARLAT LA CANEDA
107240;448;COMMUNE DE SEPTEMES LES VALLONS
107062;448;COMMUNE D IFS
136448;447;COMMUNE DE CARMAUX
129838;447;COMMUNE DE SAINT JEAN DE LUZ
113980;447;VILLE DE FOUESNANT
108401;447;COMMUNE DE SOYAUX
139129;446;COMMUNE DE MONTMORENCY
138981;446;COMMUNE D ORMESSON SUR MARNE
125452;446;COMMUNE D ANNOEULLIN
124445;446;VILLE DE GUIDEL
112612;446;COMMUNE DE BOURG-DE-PEAGE
121562;440;COMMUNE DE CHOLET
128725;439;COMMUNE DE BAYONNE
134915;436;COMMUNE DE MAISONS LAFFITTE
123698;435;COMMUNE DE LUNEVILLE
121471;435;COMMUNE DE COUTANCES
100959;435;CC LOIR-LUCE-BERCE
100557;435;CC LOUDEAC COMMUNAUTE BRETAGNE CENTRE
221868;428;COMMUNE DE MARSEILLE 01-07
102793;428;VILLE DE PARIS 01
102802;426;VILLE DE PARIS 09
102524;426;CC CHAMPSAUR-VALGAUDEMAR
101562;426;CA HERMITAGE-TOURNONAIS-HERBASSE
100734;426;CC SAINT-POURCAIN SIOULE LIMAGNE
102799;425;VILLE DE PARIS 06
101676;425;CC VALLEES DE L ORNE ET DE L ODON
101654;425;CC DU PAYS D OLMES
101647;425;CA PAYS FOIX-VARILHES
101510;425;CC DU PAYS DE FALAISE
101478;418;CC HAUTES TERRES
